SkodaRang,Leto,PKID,Textbox6
Požari na prometnih sredstvih,2006,530.085,požari na sredstvih cestnega prometa,160.071,6.700.467
Požari na prometnih sredstvih,2007,1.810.058,požari na sredstvih cestnega prometa,1.600.052,11.630.511
Požari na prometnih sredstvih,2008,800.068,požari na sredstvih cestnega prometa,760.066,6.880.270
Požari na prometnih sredstvih,2009,470.059,požari na sredstvih cestnega prometa,390.057,6.650.278
Požari na prometnih sredstvih,2010,1.680.117,požari na sredstvih cestnega prometa,1.460.113,14.420.644
Požari na prometnih sredstvih,2011,390.124,požari na sredstvih cestnega prometa,290.116,2.900.975
Požari na prometnih sredstvih,2012,310.113,požari na sredstvih cestnega prometa,290.104,7.120.762
Požari na prometnih sredstvih,2013,560.169,požari na sredstvih cestnega prometa,540.156,5.600.911
Požari na prometnih sredstvih,2014,1.350.108,požari na sredstvih cestnega prometa,1.190.105,7.770.499
Požari na prometnih sredstvih,2015,860.208,požari na sredstvih cestnega prometa,680.188,6.821.142
Požari na prometnih sredstvih,2016,520.239,požari na sredstvih cestnega prometa,480.223,4.231.368
Požari na prometnih sredstvih,2017,320.287,požari na sredstvih cestnega prometa,280.270,5.331.251
Požari na prometnih sredstvih,2005,380.088,"požari na delovnih, kmetijskih in gradbenih strojih",4,4.280.514
Požari na prometnih sredstvih,2006,530.085,"požari na delovnih, kmetijskih in gradbenih strojih",260.012,6.700.467
Požari na prometnih sredstvih,2007,1.810.058,"požari na delovnih, kmetijskih in gradbenih strojih",180.005,11.630.511
Požari na prometnih sredstvih,2008,800.068,"požari na delovnih, kmetijskih in gradbenih strojih",40.002,6.880.270
Požari na prometnih sredstvih,2009,470.059,"požari na delovnih, kmetijskih in gradbenih strojih",70.001,6.650.278
Požari na prometnih sredstvih,2010,1.680.117,"požari na delovnih, kmetijskih in gradbenih strojih",120.002,14.420.644
Požari na prometnih sredstvih,2011,390.124,"požari na delovnih, kmetijskih in gradbenih strojih",100.005,2.900.975
Požari na prometnih sredstvih,2012,310.113,"požari na delovnih, kmetijskih in gradbenih strojih",20.006,7.120.762
Požari na prometnih sredstvih,2013,560.169,"požari na delovnih, kmetijskih in gradbenih strojih",20.008,5.600.911
Požari na prometnih sredstvih,2014,1.350.108,"požari na delovnih, kmetijskih in gradbenih strojih",60.002,7.770.499
Požari na prometnih sredstvih,2015,860.208,"požari na delovnih, kmetijskih in gradbenih strojih",120.017,6.821.142
Požari na prometnih sredstvih,2016,520.239,"požari na delovnih, kmetijskih in gradbenih strojih",40.013,4.231.368
Požari na prometnih sredstvih,2017,320.287,"požari na delovnih, kmetijskih in gradbenih strojih",30.013,5.331.251
Požari na prometnih sredstvih,2005,380.088,požari na sredstvih železniškega prometa,0,4.280.514
Požari na prometnih sredstvih,2006,530.085,požari na sredstvih železniškega prometa,100.002,6.700.467
Požari na prometnih sredstvih,2007,1.810.058,požari na sredstvih železniškega prometa,10.000,11.630.511
Požari na prometnih sredstvih,2008,800.068,požari na sredstvih železniškega prometa,0,6.880.270
Požari na prometnih sredstvih,2009,470.059,požari na sredstvih železniškega prometa,0,6.650.278
Požari na prometnih sredstvih,2010,1.680.117,požari na sredstvih železniškega prometa,2,14.420.644
Požari na prometnih sredstvih,2011,390.124,požari na sredstvih železniškega prometa,3,2.900.975
Požari na prometnih sredstvih,2012,310.113,požari na sredstvih železniškega prometa,3,7.120.762
Požari na prometnih sredstvih,2013,560.169,požari na sredstvih železniškega prometa,3,5.600.911
Požari na prometnih sredstvih,2014,1.350.108,požari na sredstvih železniškega prometa,100.001,7.770.499
Požari na prometnih sredstvih,2015,860.208,požari na sredstvih železniškega prometa,3,6.821.142
Požari na prometnih sredstvih,2016,520.239,požari na sredstvih železniškega prometa,2,4.231.368
Požari na prometnih sredstvih,2017,320.287,požari na sredstvih železniškega prometa,2,5.331.251
Požari na prometnih sredstvih,2005,380.088,požari na sredstvih zračnega prometa,0,4.280.514
Požari na prometnih sredstvih,2006,530.085,požari na sredstvih zračnega prometa,0,6.700.467
Požari na prometnih sredstvih,2007,1.810.058,požari na sredstvih zračnega prometa,,11.630.511
Požari na prometnih sredstvih,2008,800.068,požari na sredstvih zračnega prometa,0,6.880.270
Požari na prometnih sredstvih,2009,470.059,požari na sredstvih zračnega prometa,1,6.650.278
Požari na prometnih sredstvih,2010,1.680.117,požari na sredstvih zračnega prometa,0,14.420.644
Požari na prometnih sredstvih,2011,390.124,požari na sredstvih zračnega prometa,,2.900.975
Požari na prometnih sredstvih,2012,310.113,požari na sredstvih zračnega prometa,,7.120.762
Požari na prometnih sredstvih,2013,560.169,požari na sredstvih zračnega prometa,0,5.600.911
Požari na prometnih sredstvih,2014,1.350.108,požari na sredstvih zračnega prometa,,7.770.499
Požari na prometnih sredstvih,2015,860.208,požari na sredstvih zračnega prometa,,6.821.142
Požari na prometnih sredstvih,2016,520.239,požari na sredstvih zračnega prometa,,4.231.368
Požari na prometnih sredstvih,2017,320.287,požari na sredstvih zračnega prometa,1,5.331.251
Požari na prometnih sredstvih,2005,380.088,požari na sredstvih vodnega prometa,0,4.280.514
Požari na prometnih sredstvih,2006,530.085,požari na sredstvih vodnega prometa,10.000,6.700.467
Požari na prometnih sredstvih,2007,1.810.058,požari na sredstvih vodnega prometa,20.001,11.630.511
Požari na prometnih sredstvih,2008,800.068,požari na sredstvih vodnega prometa,0,6.880.270
Požari na prometnih sredstvih,2009,470.059,požari na sredstvih vodnega prometa,10.000,6.650.278
Požari na prometnih sredstvih,2010,1.680.117,požari na sredstvih vodnega prometa,100.000,14.420.644
Požari na prometnih sredstvih,2011,390.124,požari na sredstvih vodnega prometa,0,2.900.975
Požari na prometnih sredstvih,2012,310.113,požari na sredstvih vodnega prometa,0,7.120.762
Požari na prometnih sredstvih,2013,560.169,požari na sredstvih vodnega prometa,2,5.600.911
Požari na prometnih sredstvih,2014,1.350.108,požari na sredstvih vodnega prometa,0,7.770.499
