Textbox1
"Pregled števila dogodkov po letih za 
ReCO: vsi regijski centri
Občina: vse občine v okviru ReCO"

VrstaDogodka,Leto,Textbox63,SkupinaDogodka,Število,Textbox59
NARAVNE NESREČE,2007,781,Suša,66,13.283
NARAVNE NESREČE,2008,960,Suša,1,12.511
NARAVNE NESREČE,2009,1.075,Suša,,13.742
NARAVNE NESREČE,2010,828,Suša,,11.665
NARAVNE NESREČE,2011,584,Suša,,13.589
NARAVNE NESREČE,2012,1.173,Suša,115,14.743
NARAVNE NESREČE,2013,1.202,Suša,3,14.093
NARAVNE NESREČE,2014,1.986,Suša,,14.571
NARAVNE NESREČE,2015,841,Suša,,14.664
NARAVNE NESREČE,2016,1.193,Suša,,15.841
NARAVNE NESREČE,2017,1.207,Suša,2,15.706
NARAVNE NESREČE,2005,670,Hud mraz,3,11.042
NARAVNE NESREČE,2006,745,Hud mraz,4,13.236
NARAVNE NESREČE,2007,781,Hud mraz,,13.283
NARAVNE NESREČE,2008,960,Hud mraz,4,12.511
NARAVNE NESREČE,2009,1.075,Hud mraz,1,13.742
NARAVNE NESREČE,2010,828,Hud mraz,,11.665
NARAVNE NESREČE,2011,584,Hud mraz,,13.589
NARAVNE NESREČE,2012,1.173,Hud mraz,27,14.743
NARAVNE NESREČE,2013,1.202,Hud mraz,,14.093
NARAVNE NESREČE,2014,1.986,Hud mraz,,14.571
NARAVNE NESREČE,2015,841,Hud mraz,,14.664
NARAVNE NESREČE,2016,1.193,Hud mraz,,15.841
NARAVNE NESREČE,2017,1.207,Hud mraz,8,15.706
NARAVNE NESREČE,2005,670,Huda vročina,,11.042
NARAVNE NESREČE,2006,745,Huda vročina,,13.236
NARAVNE NESREČE,2007,781,Huda vročina,,13.283
NARAVNE NESREČE,2008,960,Huda vročina,,12.511
NARAVNE NESREČE,2009,1.075,Huda vročina,,13.742
NARAVNE NESREČE,2010,828,Huda vročina,,11.665
NARAVNE NESREČE,2011,584,Huda vročina,4,13.589
NARAVNE NESREČE,2012,1.173,Huda vročina,1,14.743
NARAVNE NESREČE,2013,1.202,Huda vročina,3,14.093
NARAVNE NESREČE,2014,1.986,Huda vročina,,14.571
NARAVNE NESREČE,2015,841,Huda vročina,,14.664
NARAVNE NESREČE,2016,1.193,Huda vročina,,15.841
NARAVNE NESREČE,2017,1.207,Huda vročina,,15.706
NARAVNE NESREČE,2005,670,Prekinitev prometa zaradi naravnih pojavov,25,11.042
NARAVNE NESREČE,2006,745,Prekinitev prometa zaradi naravnih pojavov,30,13.236
NARAVNE NESREČE,2007,781,Prekinitev prometa zaradi naravnih pojavov,21,13.283
NARAVNE NESREČE,2008,960,Prekinitev prometa zaradi naravnih pojavov,24,12.511
NARAVNE NESREČE,2009,1.075,Prekinitev prometa zaradi naravnih pojavov,30,13.742
NARAVNE NESREČE,2010,828,Prekinitev prometa zaradi naravnih pojavov,28,11.665
NARAVNE NESREČE,2011,584,Prekinitev prometa zaradi naravnih pojavov,35,13.589
NARAVNE NESREČE,2012,1.173,Prekinitev prometa zaradi naravnih pojavov,39,14.743
NARAVNE NESREČE,2013,1.202,Prekinitev prometa zaradi naravnih pojavov,52,14.093
NARAVNE NESREČE,2014,1.986,Prekinitev prometa zaradi naravnih pojavov,37,14.571
NARAVNE NESREČE,2015,841,Prekinitev prometa zaradi naravnih pojavov,47,14.664
NARAVNE NESREČE,2016,1.193,Prekinitev prometa zaradi naravnih pojavov,59,15.841
NARAVNE NESREČE,2017,1.207,Prekinitev prometa zaradi naravnih pojavov,58,15.706
NARAVNE NESREČE,2005,670,"Epidemije in okužbe ljudi, živali in rastlin",1,11.042
NARAVNE NESREČE,2006,745,"Epidemije in okužbe ljudi, živali in rastlin",9,13.236
NARAVNE NESREČE,2007,781,"Epidemije in okužbe ljudi, živali in rastlin",10,13.283
NARAVNE NESREČE,2008,960,"Epidemije in okužbe ljudi, živali in rastlin",28,12.511
NARAVNE NESREČE,2009,1.075,"Epidemije in okužbe ljudi, živali in rastlin",12,13.742
NARAVNE NESREČE,2010,828,"Epidemije in okužbe ljudi, živali in rastlin",6,11.665
NARAVNE NESREČE,2011,584,"Epidemije in okužbe ljudi, živali in rastlin",48,13.589
NARAVNE NESREČE,2012,1.173,"Epidemije in okužbe ljudi, živali in rastlin",33,14.743
NARAVNE NESREČE,2013,1.202,"Epidemije in okužbe ljudi, živali in rastlin",20,14.093
NARAVNE NESREČE,2014,1.986,"Epidemije in okužbe ljudi, živali in rastlin",16,14.571
NARAVNE NESREČE,2015,841,"Epidemije in okužbe ljudi, živali in rastlin",34,14.664
NARAVNE NESREČE,2016,1.193,"Epidemije in okužbe ljudi, živali in rastlin",18,15.841
NARAVNE NESREČE,2017,1.207,"Epidemije in okužbe ljudi, živali in rastlin",74,15.706
DRUGE NESREČE,2005,549,Nesreče v gorah,133,11.042
DRUGE NESREČE,2006,982,Nesreče v gorah,184,13.236
DRUGE NESREČE,2007,992,Nesreče v gorah,216,13.283
DRUGE NESREČE,2008,1.045,Nesreče v gorah,173,12.511
DRUGE NESREČE,2009,1.130,Nesreče v gorah,229,13.742
DRUGE NESREČE,2010,1.017,Nesreče v gorah,192,11.665
DRUGE NESREČE,2011,1.169,Nesreče v gorah,219,13.589
DRUGE NESREČE,2012,1.268,Nesreče v gorah,213,14.743
DRUGE NESREČE,2013,1.178,Nesreče v gorah,206,14.093
DRUGE NESREČE,2014,1.203,Nesreče v gorah,160,14.571
DRUGE NESREČE,2015,1.505,Nesreče v gorah,191,14.664
DRUGE NESREČE,2016,1.688,Nesreče v gorah,235,15.841
DRUGE NESREČE,2017,1.844,Nesreče v gorah,213,15.706
DRUGE NESREČE,2005,549,Ogrožanja ali napad živali na ljudi in stvari,,11.042
DRUGE NESREČE,2006,982,Ogrožanja ali napad živali na ljudi in stvari,3,13.236
DRUGE NESREČE,2007,992,Ogrožanja ali napad živali na ljudi in stvari,4,13.283
DRUGE NESREČE,2008,1.045,Ogrožanja ali napad živali na ljudi in stvari,7,12.511
DRUGE NESREČE,2009,1.130,Ogrožanja ali napad živali na ljudi in stvari,12,13.742
DRUGE NESREČE,2010,1.017,Ogrožanja ali napad živali na ljudi in stvari,17,11.665
DRUGE NESREČE,2011,1.169,Ogrožanja ali napad živali na ljudi in stvari,46,13.589
DRUGE NESREČE,2012,1.268,Ogrožanja ali napad živali na ljudi in stvari,42,14.743
DRUGE NESREČE,2013,1.178,Ogrožanja ali napad živali na ljudi in stvari,92,14.093
DRUGE NESREČE,2014,1.203,Ogrožanja ali napad živali na ljudi in stvari,48,14.571
DRUGE NESREČE,2015,1.505,Ogrožanja ali napad živali na ljudi in stvari,105,14.664
DRUGE NESREČE,2016,1.688,Ogrožanja ali napad živali na ljudi in stvari,117,15.841
DRUGE NESREČE,2017,1.844,Ogrožanja ali napad živali na ljudi in stvari,122,15.706
DRUGE NESREČE,2005,549,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",67,11.042
DRUGE NESREČE,2006,982,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",162,13.236
DRUGE NESREČE,2007,992,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",122,13.283
DRUGE NESREČE,2008,1.045,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",116,12.511
DRUGE NESREČE,2009,1.130,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",171,13.742
DRUGE NESREČE,2010,1.017,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",184,11.665
DRUGE NESREČE,2011,1.169,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",201,13.589
DRUGE NESREČE,2012,1.268,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",245,14.743
DRUGE NESREČE,2013,1.178,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",201,14.093
DRUGE NESREČE,2014,1.203,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",183,14.571
DRUGE NESREČE,2015,1.505,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",237,14.664
DRUGE NESREČE,2016,1.688,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",243,15.841
DRUGE NESREČE,2017,1.844,"Nesreče pri športnih, rekreativnih in drugih aktivnostih",267,15.706
DRUGE NESREČE,2005,549,"Nesreče na žičnicah, vzpenjačah",1,11.042
DRUGE NESREČE,2006,982,"Nesreče na žičnicah, vzpenjačah",2,13.236
DRUGE NESREČE,2007,992,"Nesreče na žičnicah, vzpenjačah",3,13.283
DRUGE NESREČE,2008,1.045,"Nesreče na žičnicah, vzpenjačah",4,12.511
DRUGE NESREČE,2009,1.130,"Nesreče na žičnicah, vzpenjačah",4,13.742
DRUGE NESREČE,2010,1.017,"Nesreče na žičnicah, vzpenjačah",1,11.665
DRUGE NESREČE,2011,1.169,"Nesreče na žičnicah, vzpenjačah",1,13.589
DRUGE NESREČE,2012,1.268,"Nesreče na žičnicah, vzpenjačah",1,14.743
DRUGE NESREČE,2013,1.178,"Nesreče na žičnicah, vzpenjačah",1,14.093
DRUGE NESREČE,2014,1.203,"Nesreče na žičnicah, vzpenjačah",1,14.571
DRUGE NESREČE,2015,1.505,"Nesreče na žičnicah, vzpenjačah",1,14.664
DRUGE NESREČE,2016,1.688,"Nesreče na žičnicah, vzpenjačah",,15.841
DRUGE NESREČE,2017,1.844,"Nesreče na žičnicah, vzpenjačah",2,15.706
DRUGE NESREČE,2005,549,Delovne in rudniške nesreče,106,11.042
DRUGE NESREČE,2006,982,Delovne in rudniške nesreče,389,13.236
DRUGE NESREČE,2007,992,Delovne in rudniške nesreče,323,13.283
DRUGE NESREČE,2008,1.045,Delovne in rudniške nesreče,395,12.511
DRUGE NESREČE,2009,1.130,Delovne in rudniške nesreče,353,13.742
DRUGE NESREČE,2010,1.017,Delovne in rudniške nesreče,281,11.665
DRUGE NESREČE,2011,1.169,Delovne in rudniške nesreče,284,13.589
DRUGE NESREČE,2012,1.268,Delovne in rudniške nesreče,281,14.743
DRUGE NESREČE,2013,1.178,Delovne in rudniške nesreče,320,14.093
DRUGE NESREČE,2014,1.203,Delovne in rudniške nesreče,347,14.571
DRUGE NESREČE,2015,1.505,Delovne in rudniške nesreče,371,14.664
DRUGE NESREČE,2016,1.688,Delovne in rudniške nesreče,370,15.841
DRUGE NESREČE,2017,1.844,Delovne in rudniške nesreče,382,15.706
DRUGE NESREČE,2005,549,Reševanja obolelih oseb,136,11.042
DRUGE NESREČE,2006,982,Reševanja obolelih oseb,135,13.236
DRUGE NESREČE,2007,992,Reševanja obolelih oseb,200,13.283
DRUGE NESREČE,2008,1.045,Reševanja obolelih oseb,232,12.511
DRUGE NESREČE,2009,1.130,Reševanja obolelih oseb,226,13.742
DRUGE NESREČE,2010,1.017,Reševanja obolelih oseb,206,11.665
DRUGE NESREČE,2011,1.169,Reševanja obolelih oseb,270,13.589
DRUGE NESREČE,2012,1.268,Reševanja obolelih oseb,328,14.743
DRUGE NESREČE,2013,1.178,Reševanja obolelih oseb,224,14.093
DRUGE NESREČE,2014,1.203,Reševanja obolelih oseb,286,14.571
DRUGE NESREČE,2015,1.505,Reševanja obolelih oseb,443,14.664
DRUGE NESREČE,2016,1.688,Reševanja obolelih oseb,535,15.841
DRUGE NESREČE,2017,1.844,Reševanja obolelih oseb,697,15.706
DRUGE NESREČE,2005,549,Nesreče v podzemskih jamah in breznih,4,11.042
DRUGE NESREČE,2006,982,Nesreče v podzemskih jamah in breznih,7,13.236
DRUGE NESREČE,2007,992,Nesreče v podzemskih jamah in breznih,4,13.283
DRUGE NESREČE,2008,1.045,Nesreče v podzemskih jamah in breznih,5,12.511
DRUGE NESREČE,2009,1.130,Nesreče v podzemskih jamah in breznih,3,13.742
DRUGE NESREČE,2010,1.017,Nesreče v podzemskih jamah in breznih,5,11.665
DRUGE NESREČE,2011,1.169,Nesreče v podzemskih jamah in breznih,3,13.589
DRUGE NESREČE,2012,1.268,Nesreče v podzemskih jamah in breznih,6,14.743
DRUGE NESREČE,2013,1.178,Nesreče v podzemskih jamah in breznih,2,14.093
DRUGE NESREČE,2014,1.203,Nesreče v podzemskih jamah in breznih,2,14.571
DRUGE NESREČE,2015,1.505,Nesreče v podzemskih jamah in breznih,3,14.664
DRUGE NESREČE,2016,1.688,Nesreče v podzemskih jamah in breznih,4,15.841
DRUGE NESREČE,2017,1.844,Nesreče v podzemskih jamah in breznih,9,15.706
DRUGE NESREČE,2005,549,Nesreče na vodi in v vodi,33,11.042
DRUGE NESREČE,2006,982,Nesreče na vodi in v vodi,41,13.236
DRUGE NESREČE,2007,992,Nesreče na vodi in v vodi,33,13.283
DRUGE NESREČE,2008,1.045,Nesreče na vodi in v vodi,32,12.511
DRUGE NESREČE,2009,1.130,Nesreče na vodi in v vodi,52,13.742
DRUGE NESREČE,2010,1.017,Nesreče na vodi in v vodi,55,11.665
DRUGE NESREČE,2011,1.169,Nesreče na vodi in v vodi,54,13.589
DRUGE NESREČE,2012,1.268,Nesreče na vodi in v vodi,59,14.743
DRUGE NESREČE,2013,1.178,Nesreče na vodi in v vodi,56,14.093
DRUGE NESREČE,2014,1.203,Nesreče na vodi in v vodi,65,14.571
DRUGE NESREČE,2015,1.505,Nesreče na vodi in v vodi,53,14.664
DRUGE NESREČE,2016,1.688,Nesreče na vodi in v vodi,60,15.841
DRUGE NESREČE,2017,1.844,Nesreče na vodi in v vodi,52,15.706
DRUGE NESREČE,2005,549,"Pogrešane osebe, živali in stvari",69,11.042
DRUGE NESREČE,2006,982,"Pogrešane osebe, živali in stvari",59,13.236
DRUGE NESREČE,2007,992,"Pogrešane osebe, živali in stvari",87,13.283
DRUGE NESREČE,2008,1.045,"Pogrešane osebe, živali in stvari",81,12.511
DRUGE NESREČE,2009,1.130,"Pogrešane osebe, živali in stvari",80,13.742
DRUGE NESREČE,2010,1.017,"Pogrešane osebe, živali in stvari",76,11.665
DRUGE NESREČE,2011,1.169,"Pogrešane osebe, živali in stvari",91,13.589
DRUGE NESREČE,2012,1.268,"Pogrešane osebe, živali in stvari",93,14.743
DRUGE NESREČE,2013,1.178,"Pogrešane osebe, živali in stvari",76,14.093
DRUGE NESREČE,2014,1.203,"Pogrešane osebe, živali in stvari",111,14.571
DRUGE NESREČE,2015,1.505,"Pogrešane osebe, živali in stvari",101,14.664
DRUGE NESREČE,2016,1.688,"Pogrešane osebe, živali in stvari",124,15.841
DRUGE NESREČE,2017,1.844,"Pogrešane osebe, živali in stvari",100,15.706
NESREČE V PROMETU,2005,1.533,Nesreče v cestnem prometu,1.509,11.042
NESREČE V PROMETU,2006,2.157,Nesreče v cestnem prometu,2.119,13.236
NESREČE V PROMETU,2007,2.143,Nesreče v cestnem prometu,2.101,13.283
NESREČE V PROMETU,2008,1.952,Nesreče v cestnem prometu,1.905,12.511
NESREČE V PROMETU,2009,2.060,Nesreče v cestnem prometu,2.022,13.742
NESREČE V PROMETU,2010,1.804,Nesreče v cestnem prometu,1.772,11.665
NESREČE V PROMETU,2011,2.105,Nesreče v cestnem prometu,2.048,13.589
NESREČE V PROMETU,2012,2.074,Nesreče v cestnem prometu,2.033,14.743
NESREČE V PROMETU,2013,2.364,Nesreče v cestnem prometu,2.317,14.093
NESREČE V PROMETU,2014,2.273,Nesreče v cestnem prometu,2.229,14.571
NESREČE V PROMETU,2015,2.368,Nesreče v cestnem prometu,2.330,14.664
NESREČE V PROMETU,2016,2.688,Nesreče v cestnem prometu,2.640,15.841
NESREČE V PROMETU,2017,2.129,Nesreče v cestnem prometu,2.099,15.706
NESREČE V PROMETU,2005,1.533,Nesreče v železniškem prometu,20,11.042
NESREČE V PROMETU,2006,2.157,Nesreče v železniškem prometu,30,13.236
NESREČE V PROMETU,2007,2.143,Nesreče v železniškem prometu,35,13.283
NESREČE V PROMETU,2008,1.952,Nesreče v železniškem prometu,35,12.511
NESREČE V PROMETU,2009,2.060,Nesreče v železniškem prometu,29,13.742
NESREČE V PROMETU,2010,1.804,Nesreče v železniškem prometu,23,11.665
NESREČE V PROMETU,2011,2.105,Nesreče v železniškem prometu,42,13.589
NESREČE V PROMETU,2012,2.074,Nesreče v železniškem prometu,37,14.743
NESREČE V PROMETU,2013,2.364,Nesreče v železniškem prometu,34,14.093
NESREČE V PROMETU,2014,2.273,Nesreče v železniškem prometu,38,14.571
NESREČE V PROMETU,2015,2.368,Nesreče v železniškem prometu,30,14.664
NESREČE V PROMETU,2016,2.688,Nesreče v železniškem prometu,42,15.841
NESREČE V PROMETU,2017,2.129,Nesreče v železniškem prometu,24,15.706
NESREČE V PROMETU,2005,1.533,Nesreče v pomorskem prometu,1,11.042
NESREČE V PROMETU,2006,2.157,Nesreče v pomorskem prometu,6,13.236
NESREČE V PROMETU,2007,2.143,Nesreče v pomorskem prometu,1,13.283
NESREČE V PROMETU,2008,1.952,Nesreče v pomorskem prometu,2,12.511
NESREČE V PROMETU,2009,2.060,Nesreče v pomorskem prometu,1,13.742
NESREČE V PROMETU,2010,1.804,Nesreče v pomorskem prometu,5,11.665
NESREČE V PROMETU,2011,2.105,Nesreče v pomorskem prometu,3,13.589
NESREČE V PROMETU,2012,2.074,Nesreče v pomorskem prometu,2,14.743
NESREČE V PROMETU,2013,2.364,Nesreče v pomorskem prometu,4,14.093
NESREČE V PROMETU,2014,2.273,Nesreče v pomorskem prometu,2,14.571
NESREČE V PROMETU,2015,2.368,Nesreče v pomorskem prometu,1,14.664
NESREČE V PROMETU,2016,2.688,Nesreče v pomorskem prometu,,15.841
NESREČE V PROMETU,2017,2.129,Nesreče v pomorskem prometu,2,15.706
NESREČE V PROMETU,2005,1.533,Nesreče v zračnem prometu,3,11.042
NESREČE V PROMETU,2006,2.157,Nesreče v zračnem prometu,2,13.236
NESREČE V PROMETU,2007,2.143,Nesreče v zračnem prometu,6,13.283
NESREČE V PROMETU,2008,1.952,Nesreče v zračnem prometu,10,12.511
NESREČE V PROMETU,2009,2.060,Nesreče v zračnem prometu,8,13.742
NESREČE V PROMETU,2010,1.804,Nesreče v zračnem prometu,4,11.665
NESREČE V PROMETU,2011,2.105,Nesreče v zračnem prometu,12,13.589
NESREČE V PROMETU,2012,2.074,Nesreče v zračnem prometu,2,14.743
NESREČE V PROMETU,2013,2.364,Nesreče v zračnem prometu,9,14.093
NESREČE V PROMETU,2014,2.273,Nesreče v zračnem prometu,4,14.571
NESREČE V PROMETU,2015,2.368,Nesreče v zračnem prometu,7,14.664
NESREČE V PROMETU,2016,2.688,Nesreče v zračnem prometu,6,15.841
NESREČE V PROMETU,2017,2.129,Nesreče v zračnem prometu,4,15.706
POŽARI IN EKSPLOZIJE,2005,5.054,Požari v objektih,2.203,11.042
POŽARI IN EKSPLOZIJE,2006,5.384,Požari v objektih,2.280,13.236
POŽARI IN EKSPLOZIJE,2007,5.812,Požari v objektih,2.314,13.283
POŽARI IN EKSPLOZIJE,2008,4.872,Požari v objektih,2.172,12.511
