Textbox1
"Omejitve izpisa:
Leto: 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017
ReCO: vse
Občina: vse
Vrsta enote: Prostovoljna teritorialna gasilska društva, Poklicne gasilske enote, Industrijska gasilska društva"

VrstaDogodka1,Leto1,Textbox40,Dogodek,PKID2,Textbox29
2011,8.223,58.517,0,19,"2.075.054,08",9.333,PGE,2.785,14.616,0,3,"456.410,70",5.150,JZ GRS KRANJ,188,894,,,"8.264,00",85
2011,8.223,58.517,0,19,"2.075.054,08",9.333,PGE,2.785,14.616,0,3,"456.410,70",5.150,JZGB MARIBOR,230,1.334,,,"120.551,45",2.293
2011,8.223,58.517,0,19,"2.075.054,08",9.333,PGE,2.785,14.616,0,3,"456.410,70",5.150,KOROŠKI GASILSKI ZAVOD,39,95,,,,
2011,8.223,58.517,0,19,"2.075.054,08",9.333,PGE,2.785,14.616,0,3,"456.410,70",5.150,PGE Celje,211,716,0,0,"40.891,00",980
2011,8.223,58.517,0,19,"2.075.054,08",9.333,PGE,2.785,14.616,0,3,"456.410,70",5.150,PGE KRŠKO,181,541,,2,,
2011,8.223,58.517,0,19,"2.075.054,08",9.333,PGE,2.785,14.616,0,3,"456.410,70",5.150,ZGRS SEŽANA,115,442,0,0,"1.077,57",77
2010,5.725,40.495,0,18,"1.146.045,62",1.747,IGE,10,67,0,0,"1.368,00",,AERODROM LJUBLJANA,2,8,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,IGE,10,67,0,0,"1.368,00",,KOVINOPLASTIKA LOŽ,1,1,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,IGE,10,67,0,0,"1.368,00",,NAFTA LENDAVA,2,8,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,IGE,10,67,0,0,"1.368,00",,PREMOGOVNIK VELENJE,1,8,0,0,"503,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,IGE,10,67,0,0,"1.368,00",,SALONIT ANHOVO,1,15,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,IGE,10,67,0,0,"1.368,00",,STEKLARNA HRASTNIK,3,27,,,"865,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ADLEŠIČI,1,15,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,AJDOVŠČINA,14,63,,,"300,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,AMBRUS,1,16,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ANDRAŽ NAD POLZELO,4,38,0,0,"16.709,18",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,APAČE,5,30,0,0,"885,24",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ARJA VAS,3,17,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,AVČE,2,34,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BABIČI,6,26,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BABINCI,1,10,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BABNO,6,29,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BAKOVCI,1,5,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BANOVCI,2,13,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BARJE,7,58,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BEGUNJE,4,45,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BEGUNJE NA GORENJSKEM,8,49,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BELTINCI,3,19,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BENEDIKT,4,36,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BERIČEVO - BRINJE,1,9,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BESNICA,1,12,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BEVČE,1,11,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BEVKE,1,1,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BEZULJAK,2,14,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BISTRICA OB DRAVI,3,39,,,"532,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BISTRICA OB SOTLI,2,40,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BISTRICA PRI TRŽIČU,15,157,0,0,"10.451,20",20
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BIŠ,3,30,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BITNJE,1,5,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BIZELJSKO,2,27,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BIZOVIK,9,74,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BLAGOVICA,9,73,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BLANCA,2,19,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BLED,14,137,,,"525,00",22
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BLED - REČICA,4,21,,,"36,00",3
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BLOKE,3,24,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BOČNA,4,40,,,,20
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BOGOJINA,2,34,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BOHINJSKA BELA,2,19,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BOHINJSKA BISTRICA,9,66,0,0,"1.500,00",9
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BOHINJSKA ČEŠNJICA,1,2,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BOHOVA,8,56,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BORECI,1,9,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BOROVNICA,3,24,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BOŠTANJ,1,8,,,"910,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BOVEC,13,137,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BRANOSLAVCI,2,14,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BRASLOVČE,5,57,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BRDO,4,21,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREG,2,32,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREGINJ,1,6,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREKOVICE,1,6,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BRESNICA,2,14,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREST,1,8,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BRESTANICA,1,,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREZJE,7,59,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREZJE NA GORENJSKEM,6,53,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREZNO - PODVELKA,4,22,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREZOVICA,2,10,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREZOVICA PRI LJUBLJANI,10,94,,,,7
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREŽICE,13,92,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BREŽICE OKOLICA,12,69,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BRITOF,2,18,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BUČE,2,16,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BUČEČOVCI,1,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BUČKA,1,2,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BUKOŠEK,2,15,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BUKOVCI,8,93,,,,5
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BUKOVICA ,2,10,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BUKOVICA - UTIK,1,12,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,BUNČANI,1,10,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CAJNARJE,3,17,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CANKOVA,1,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CELJE GABERJE,5,35,0,0,,2
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CERINA,4,48,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CERKLJE,9,129,,,,3
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CERKLJE OB KRKI,12,87,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CERKNICA,11,109,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CERKNO,8,105,,,,2
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CERKVENJAK,4,39,,,"3.971,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CERŠAK,2,11,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CEZANJEVCI,1,11,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CIRKULANE,5,50,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,COL,4,26,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,CVETKOVCI,2,17,0,0,"100,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČATEŽ  POD ZAPLAZOM,1,8,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČEMŠENIK,1,3,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČENTIBA,1,4,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČEPINCI,2,13,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČEPOVAN,1,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČERNELAVCI,3,16,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČRENŠOVCI,3,17,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČREŠNJEVEC,1,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČRMOŠNJICE,1,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČRNA NA KOROŠKEM,5,59,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČRNEČE,1,4,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČRNI VRH,2,9,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČRNOMELJ,15,150,0,0,"4.890,39",38
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,ČRNUČE,11,69,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DEČNO SELO,4,23,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DEKANI,6,17,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DESENCI,3,23,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DESTRNIK,6,64,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DIVAČA,14,66,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOB,2,11,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBINDOL,1,3,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBJE,2,4,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBLIČE,3,24,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBOVEC,1,14,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBRAČEVA,8,111,,,,15
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBRAVA,5,42,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBRIŠA VAS PETROVČE,5,35,0,0,"105,27",2
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBRNA,5,112,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBRNIČ,2,35,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBROVA,3,16,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBROVLJE,1,4,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBROVNIK,1,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOBROVO,9,46,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOGOŠE,4,23,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOL,6,21,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOL PRI HRASTNIKU,5,46,,,"1.337,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOL PRI LJUBLJANI,1,10,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLENCI,2,10,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLENJA STRAŽA,1,6,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLENJA TREBUŠA,1,4,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLENJA VAS,2,10,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLENJE JEZERO,3,12,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLENJI LAZI,1,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLENJSKE TOPLICE,4,8,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLGA GORA,1,9,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLGA VAS,3,9,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLIČ ŠENTFLORJAN,4,48,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLINA,3,24,0,0,"252,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLNJI LAKOŠ,2,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLNJI LOGATEC,16,177,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLNJI SLAVEČI,1,12,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLSKO,1,2,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOLŽ,1,4,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOMANJŠEVCI,1,10,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOMŽALE - MESTO,5,45,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DORNAVA,3,43,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DORNBERK,13,78,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOVJE,1,10,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DOVŽE,1,6,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DRAGATUŠ,4,46,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DRAGOMER - LUKOVICA,1,8,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DRAGOMLJA VAS,2,5,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DRAVLJE,8,40,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DRAVOGRAD,7,63,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DRAŽA VAS,2,16,0,0,"1.077,00",4
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DREŠINJA VAS,4,16,0,0,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DUPLICA,4,28,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DUPLJE,5,61,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DVOR,3,30,,,"1.140,00",2
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,DVORJANE,4,51,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,FIKŠINCI,1,8,,,"150,00",2
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,FORMIN,2,15,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,FRAM,4,35,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,FRANKOLOVO,3,25,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GABERJE,1,7,0,0,"370,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GABERKE,1,12,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GABRJE,2,12,,,"40,00",
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GABRNIK,1,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GAJEVCI - PLACEROVCI,1,4,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GAMELJNE,3,25,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GATINA,1,10,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GERLINCI,1,4,,,,5
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GLOBODOL,3,14,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GLOBOKA,1,11,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GLOBOKO,6,41,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GOČOVA,1,8,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GODOVIČ,1,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GOLAVABUKA,3,20,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GOLNIK,1,9,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GOLO,2,14,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GOMILICA,1,1,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GOMILSKO,2,27,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GORENJA VAS,5,60,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GORENJE PRI ZREČAH,1,7,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GORENJE VRHPOLJE,2,10,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GORENJI LOGATEC,8,66,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GORIČE,1,2,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GORIŠNICA,2,15,,,,
2010,5.725,40.495,0,18,"1.146.045,62",1.747,PGD,3.657,30.400,0,16,"714.224,20",909,GORJE,4,40,,,"48,00",2
