Textbox1
"Omejitve izpisa:
Leto: 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017
ReCO: vse
Občina: vse
Vrsta enote: Prostovoljna teritorialna gasilska društva, Poklicne gasilske enote, Industrijska gasilska društva"

VrstaDogodka1,Leto1,Textbox40,Dogodek,PKID2,Textbox29
Požari na prometnih sredstvih,2013,645,požari na sredstvih železniškega prometa,14,7.130
Požari na prometnih sredstvih,2014,660,požari na sredstvih železniškega prometa,18,5.917
Požari na prometnih sredstvih,2015,718,požari na sredstvih železniškega prometa,9,6.955
Požari na prometnih sredstvih,2016,649,požari na sredstvih železniškega prometa,8,7.496
Požari na prometnih sredstvih,2017,658,požari na sredstvih železniškega prometa,6,8.595
Požari na prometnih sredstvih,2005,656,požari na sredstvih zračnega prometa,3,6.831
Požari na prometnih sredstvih,2006,777,požari na sredstvih zračnega prometa,1,8.550
Požari na prometnih sredstvih,2007,782,požari na sredstvih zračnega prometa,0,8.449
Požari na prometnih sredstvih,2008,846,požari na sredstvih zračnega prometa,2,7.177
Požari na prometnih sredstvih,2009,726,požari na sredstvih zračnega prometa,2,7.910
Požari na prometnih sredstvih,2010,670,požari na sredstvih zračnega prometa,2,5.725
Požari na prometnih sredstvih,2011,686,požari na sredstvih zračnega prometa,0,8.223
Požari na prometnih sredstvih,2012,638,požari na sredstvih zračnega prometa,0,9.137
Požari na prometnih sredstvih,2013,645,požari na sredstvih zračnega prometa,3,7.130
Požari na prometnih sredstvih,2014,660,požari na sredstvih zračnega prometa,0,5.917
Požari na prometnih sredstvih,2015,718,požari na sredstvih zračnega prometa,0,6.955
Požari na prometnih sredstvih,2016,649,požari na sredstvih zračnega prometa,0,7.496
Požari na prometnih sredstvih,2017,658,požari na sredstvih zračnega prometa,1,8.595
Požari na prometnih sredstvih,2005,656,požari na sredstvih vodnega prometa,2,6.831
Požari na prometnih sredstvih,2006,777,požari na sredstvih vodnega prometa,8,8.550
Požari na prometnih sredstvih,2007,782,požari na sredstvih vodnega prometa,9,8.449
Požari na prometnih sredstvih,2008,846,požari na sredstvih vodnega prometa,2,7.177
Požari na prometnih sredstvih,2009,726,požari na sredstvih vodnega prometa,4,7.910
Požari na prometnih sredstvih,2010,670,požari na sredstvih vodnega prometa,3,5.725
Požari na prometnih sredstvih,2011,686,požari na sredstvih vodnega prometa,1,8.223
Požari na prometnih sredstvih,2012,638,požari na sredstvih vodnega prometa,6,9.137
Požari na prometnih sredstvih,2013,645,požari na sredstvih vodnega prometa,7,7.130
Požari na prometnih sredstvih,2014,660,požari na sredstvih vodnega prometa,3,5.917
Požari na prometnih sredstvih,2015,718,požari na sredstvih vodnega prometa,5,6.955
Požari na prometnih sredstvih,2016,649,požari na sredstvih vodnega prometa,2,7.496
Požari na prometnih sredstvih,2017,658,požari na sredstvih vodnega prometa,2,8.595
Požari v naravi oziroma na prostem,2005,2.400,požari na gozdnih in grmovnih površinah,441,6.831
Požari v naravi oziroma na prostem,2006,3.592,požari na gozdnih in grmovnih površinah,1.445,8.550
Požari v naravi oziroma na prostem,2007,3.262,požari na gozdnih in grmovnih površinah,884,8.449
Požari v naravi oziroma na prostem,2008,2.245,požari na gozdnih in grmovnih površinah,322,7.177
Požari v naravi oziroma na prostem,2009,2.878,požari na gozdnih in grmovnih površinah,609,7.910
Požari v naravi oziroma na prostem,2010,1.434,požari na gozdnih in grmovnih površinah,210,5.725
Požari v naravi oziroma na prostem,2011,3.060,požari na gozdnih in grmovnih površinah,674,8.223
Požari v naravi oziroma na prostem,2012,4.041,požari na gozdnih in grmovnih površinah,871,9.137
Požari v naravi oziroma na prostem,2013,2.364,požari na gozdnih in grmovnih površinah,677,7.130
Požari v naravi oziroma na prostem,2014,1.279,požari na gozdnih in grmovnih površinah,259,5.917
Požari v naravi oziroma na prostem,2015,2.165,požari na gozdnih in grmovnih površinah,486,6.955
Požari v naravi oziroma na prostem,2016,2.401,požari na gozdnih in grmovnih površinah,763,7.496
Požari v naravi oziroma na prostem,2017,3.660,požari na gozdnih in grmovnih površinah,1.096,8.595
Požari v naravi oziroma na prostem,2005,2.400,požari na obdelanih površinah,52,6.831
Požari v naravi oziroma na prostem,2006,3.592,požari na obdelanih površinah,83,8.550
Požari v naravi oziroma na prostem,2007,3.262,požari na obdelanih površinah,144,8.449
Požari v naravi oziroma na prostem,2008,2.245,požari na obdelanih površinah,83,7.177
Požari v naravi oziroma na prostem,2009,2.878,požari na obdelanih površinah,81,7.910
Požari v naravi oziroma na prostem,2010,1.434,požari na obdelanih površinah,41,5.725
Požari v naravi oziroma na prostem,2011,3.060,požari na obdelanih površinah,89,8.223
Požari v naravi oziroma na prostem,2012,4.041,požari na obdelanih površinah,140,9.137
Požari v naravi oziroma na prostem,2013,2.364,požari na obdelanih površinah,85,7.130
Požari v naravi oziroma na prostem,2014,1.279,požari na obdelanih površinah,43,5.917
Požari v naravi oziroma na prostem,2015,2.165,požari na obdelanih površinah,57,6.955
Požari v naravi oziroma na prostem,2016,2.401,požari na obdelanih površinah,82,7.496
Požari v naravi oziroma na prostem,2017,3.660,požari na obdelanih površinah,116,8.595
Požari v naravi oziroma na prostem,2005,2.400,požari na travniških površinah,1.057,6.831
Požari v naravi oziroma na prostem,2006,3.592,požari na travniških površinah,912,8.550
Požari v naravi oziroma na prostem,2007,3.262,požari na travniških površinah,1.100,8.449
Požari v naravi oziroma na prostem,2008,2.245,požari na travniških površinah,895,7.177
Požari v naravi oziroma na prostem,2009,2.878,požari na travniških površinah,1.383,7.910
Požari v naravi oziroma na prostem,2010,1.434,požari na travniških površinah,538,5.725
Požari v naravi oziroma na prostem,2011,3.060,požari na travniških površinah,1.316,8.223
Požari v naravi oziroma na prostem,2012,4.041,požari na travniških površinah,1.895,9.137
Požari v naravi oziroma na prostem,2013,2.364,požari na travniških površinah,683,7.130
Požari v naravi oziroma na prostem,2014,1.279,požari na travniških površinah,370,5.917
Požari v naravi oziroma na prostem,2015,2.165,požari na travniških površinah,764,6.955
