aktivnost,stevilo,enota
POŽARI IN EKSPLOZIJE,1,PONIKVE
NARAVNE NESREČE,1,PONIKVE - PLANOTA
POŽARI IN EKSPLOZIJE,3,PONIKVE - PLANOTA
TEHNIČNA IN DRUGA POMOČ,1,PONIKVE - PLANOTA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,PONIKVE PRI TREBNJEM
POŽARI IN EKSPLOZIJE,1,PONIKVE PRI TREBNJEM
DRUGE NESREČE,4,POSTOJNA
NARAVNE NESREČE,1,POSTOJNA
NESREČE V PROMETU,37,POSTOJNA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",7,POSTOJNA
POŽARI IN EKSPLOZIJE,33,POSTOJNA
TEHNIČNA IN DRUGA POMOČ,36,POSTOJNA
DRUGE NESREČE,1,PREBAČEVO - HRASTJE
POŽARI IN EKSPLOZIJE,1,PRECETINCI
POŽARI IN EKSPLOZIJE,4,PREKOPA - ČEPLJE - STOPNIK
NARAVNE NESREČE,1,PRELOKA
DRUGE NESREČE,1,PREPOLJE
POŽARI IN EKSPLOZIJE,2,PREPOLJE
POŽARI IN EKSPLOZIJE,3,PRESERJE
TEHNIČNA IN DRUGA POMOČ,2,PRESERJE
DRUGE NESREČE,1,PREVOJE
NARAVNE NESREČE,1,PREVOJE
NESREČE V PROMETU,10,PREVOJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,PREVOJE
POŽARI IN EKSPLOZIJE,11,PREVOJE
TEHNIČNA IN DRUGA POMOČ,3,PREVOJE
NESREČE V PROMETU,1,PREŽGANJE
POŽARI IN EKSPLOZIJE,1,PREŽGANJE
POŽARI IN EKSPLOZIJE,1,PRIGORICA
POŽARI IN EKSPLOZIJE,1,PRIMSKOVO
DRUGE NESREČE,1,PRISTAVA PRI MESTINJU
POŽARI IN EKSPLOZIJE,3,PRISTAVA PRI MESTINJU
TEHNIČNA IN DRUGA POMOČ,4,PRISTAVA PRI MESTINJU
DRUGE NESREČE,1,PROŽINSKA VAS
POŽARI IN EKSPLOZIJE,2,PROŽINSKA VAS
POŽARI IN EKSPLOZIJE,1,PŠATA - DRAGOMELJ
POŽARI IN EKSPLOZIJE,1,PUCONCI
DRUGE NESREČE,1,RADEČE
POŽARI IN EKSPLOZIJE,5,RADEČE
TEHNIČNA IN DRUGA POMOČ,5,RADEČE
POŽARI IN EKSPLOZIJE,3,RADENCI - BORAČEVA
TEHNIČNA IN DRUGA POMOČ,1,RADENCI - BORAČEVA
DRUGE NESREČE,12,RADLJE OB DRAVI
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,RADLJE OB DRAVI
NESREČE V PROMETU,40,RADLJE OB DRAVI
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",9,RADLJE OB DRAVI
POŽARI IN EKSPLOZIJE,14,RADLJE OB DRAVI
TEHNIČNA IN DRUGA POMOČ,18,RADLJE OB DRAVI
POŽARI IN EKSPLOZIJE,1,RADMOŽANCI
TEHNIČNA IN DRUGA POMOČ,2,RADMOŽANCI
POŽARI IN EKSPLOZIJE,1,RADOVICA
POŽARI IN EKSPLOZIJE,1,RADUŠE
POŽARI IN EKSPLOZIJE,13,RADVANJE
TEHNIČNA IN DRUGA POMOČ,1,RADVANJE
POŽARI IN EKSPLOZIJE,1,RAKA
TEHNIČNA IN DRUGA POMOČ,1,RAKA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,RAKEK
POŽARI IN EKSPLOZIJE,12,RAKEK
TEHNIČNA IN DRUGA POMOČ,8,RAKEK
POŽARI IN EKSPLOZIJE,1,RAKIČAN
POŽARI IN EKSPLOZIJE,2,RAKOVEC
POŽARI IN EKSPLOZIJE,4,RATEČE - PLANICA
POŽARI IN EKSPLOZIJE,1,RATKOVCI
POŽARI IN EKSPLOZIJE,1,RAVNE NA KOROŠKEM
DRUGE NESREČE,1,RAVNE PRI CERKNEM
TEHNIČNA IN DRUGA POMOČ,1,RAVNE PRI CERKNEM
NESREČE V PROMETU,3,RAZDRTO
POŽARI IN EKSPLOZIJE,8,RAZDRTO
TEHNIČNA IN DRUGA POMOČ,1,RAZDRTO
POŽARI IN EKSPLOZIJE,5,RAZVANJE
POŽARI IN EKSPLOZIJE,1,REPNJE - DOBRUŠA
TEHNIČNA IN DRUGA POMOČ,1,REPNJE - DOBRUŠA
POŽARI IN EKSPLOZIJE,6,RETEČE - GORENJA VAS
NARAVNE NESREČE,1,RIBČE
POŽARI IN EKSPLOZIJE,1,RIBČE
DRUGE NESREČE,2,RIBNICA - JOSIPDOL
NARAVNE NESREČE,1,RIBNICA - JOSIPDOL
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,RIBNICA - JOSIPDOL
POŽARI IN EKSPLOZIJE,2,RIBNICA - JOSIPDOL
POŽARI IN EKSPLOZIJE,1,ROŽNI DOL
POŽARI IN EKSPLOZIJE,1,ROŽNO
DRUGE NESREČE,12,RUŠE
NARAVNE NESREČE,1,RUŠE
POŽARI IN EKSPLOZIJE,7,RUŠE
TEHNIČNA IN DRUGA POMOČ,4,RUŠE
POŽARI IN EKSPLOZIJE,1,SAVA
TEHNIČNA IN DRUGA POMOČ,1,SAVA
POŽARI IN EKSPLOZIJE,1,SAVCI
DRUGE NESREČE,1,SAVICA - POLJE
POŽARI IN EKSPLOZIJE,4,SAVICA - POLJE
POŽARI IN EKSPLOZIJE,2,SEČOVLJE
DRUGE NESREČE,1,SEDRAŽ
POŽARI IN EKSPLOZIJE,5,SEDRAŽ
TEHNIČNA IN DRUGA POMOČ,3,SEDRAŽ
POŽARI IN EKSPLOZIJE,1,SELA PRI ŠUMBERKU
DRUGE NESREČE,1,SELE - VRHE
NARAVNE NESREČE,2,SELO
POŽARI IN EKSPLOZIJE,4,SELO
POŽARI IN EKSPLOZIJE,4,SENEŠCI
TEHNIČNA IN DRUGA POMOČ,2,SENEŠCI
POŽARI IN EKSPLOZIJE,1,SENOVO
NARAVNE NESREČE,2,SENOŽETI
NESREČE V PROMETU,1,SENOŽETI
POŽARI IN EKSPLOZIJE,3,SENOŽETI
TEHNIČNA IN DRUGA POMOČ,2,SENOŽETI
DRUGE NESREČE,2,SEŽANA
NARAVNE NESREČE,1,SEŽANA
NESREČE V PROMETU,2,SEŽANA
POŽARI IN EKSPLOZIJE,15,SEŽANA
TEHNIČNA IN DRUGA POMOČ,9,SEŽANA
TEHNIČNA IN DRUGA POMOČ,1,SLADKA GORA
POŽARI IN EKSPLOZIJE,3,SLEMEN
POŽARI IN EKSPLOZIJE,1,SLIVNICA PRI CELJU
TEHNIČNA IN DRUGA POMOČ,2,SLIVNICA PRI CELJU
DRUGE NESREČE,3,SLOVENJ GRADEC
NESREČE V PROMETU,48,SLOVENJ GRADEC
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",4,SLOVENJ GRADEC
POŽARI IN EKSPLOZIJE,12,SLOVENJ GRADEC
TEHNIČNA IN DRUGA POMOČ,18,SLOVENJ GRADEC
POŽARI IN EKSPLOZIJE,1,SLOVENJA VAS
DRUGE NESREČE,1,SMLEDNIK
NARAVNE NESREČE,1,SMLEDNIK
POŽARI IN EKSPLOZIJE,1,SMLEDNIK
TEHNIČNA IN DRUGA POMOČ,1,SMLEDNIK
POŽARI IN EKSPLOZIJE,5,SOBENJA VAS
DRUGE NESREČE,1,SOLČAVA
DRUGE NESREČE,1,SORA
NARAVNE NESREČE,1,SORA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,SORA
POŽARI IN EKSPLOZIJE,4,SORA
DRUGE NESREČE,1,SOSTRO
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,SOTESKA
NARAVNE NESREČE,1,SOTESKA
POŽARI IN EKSPLOZIJE,3,SOTESKA
DRUGE NESREČE,1,SOVODENJ
NESREČE V PROMETU,1,SOVODENJ
POŽARI IN EKSPLOZIJE,2,SOVODENJ
TEHNIČNA IN DRUGA POMOČ,1,SOVODENJ
DRUGE NESREČE,2,SPODNJA IDRIJA
POŽARI IN EKSPLOZIJE,16,SPODNJA IDRIJA
TEHNIČNA IN DRUGA POMOČ,9,SPODNJA IDRIJA
POŽARI IN EKSPLOZIJE,3,SPODNJA POLSKAVA
TEHNIČNA IN DRUGA POMOČ,2,SPODNJA POLSKAVA
POŽARI IN EKSPLOZIJE,2,SPODNJA SLIVNICA
POŽARI IN EKSPLOZIJE,4,SPODNJA ŠIŠKA
POŽARI IN EKSPLOZIJE,1,SPODNJE KRAPJE
POŽARI IN EKSPLOZIJE,2,SPODNJI IVANJCI
TEHNIČNA IN DRUGA POMOČ,1,SPODNJI IVANJCI
POŽARI IN EKSPLOZIJE,1,SPODNJI KAMENŠČAK
POŽARI IN EKSPLOZIJE,4,SPODNJI VELOVLEK
TEHNIČNA IN DRUGA POMOČ,1,SPODNJI VELOVLEK
POŽARI IN EKSPLOZIJE,1,SREDNJA DOBRAVA
DRUGE NESREČE,1,SREDNJA VAS
POŽARI IN EKSPLOZIJE,2,SREDNJA VAS
TEHNIČNA IN DRUGA POMOČ,2,SREDNJA VAS
POŽARI IN EKSPLOZIJE,1,SREDNJA VAS V BOHINJU
POŽARI IN EKSPLOZIJE,4,SRPENICA
POŽARI IN EKSPLOZIJE,2,STARA FUŽINA
TEHNIČNA IN DRUGA POMOČ,1,STARA FUŽINA
POŽARI IN EKSPLOZIJE,1,STARA GORA
NARAVNE NESREČE,1,STARA LOKA
POŽARI IN EKSPLOZIJE,13,STARA LOKA
TEHNIČNA IN DRUGA POMOČ,7,STARA LOKA
POŽARI IN EKSPLOZIJE,1,STARA NOVA VAS
TEHNIČNA IN DRUGA POMOČ,1,LOKA PRI ŽUSMU
POŽARI IN EKSPLOZIJE,4,LOKARJE
POŽARI IN EKSPLOZIJE,5,LOKE
TEHNIČNA IN DRUGA POMOČ,4,LOKE
POŽARI IN EKSPLOZIJE,6,LOKEV
TEHNIČNA IN DRUGA POMOČ,2,LOKEV
DRUGE NESREČE,1,LOKROVEC - DOBROVA
POŽARI IN EKSPLOZIJE,3,LOKROVEC - DOBROVA
TEHNIČNA IN DRUGA POMOČ,1,LOKROVEC - DOBROVA
POŽARI IN EKSPLOZIJE,1,LOKVICA
POŽARI IN EKSPLOZIJE,1,LOPERŠICE
NARAVNE NESREČE,1,LOŽINE 
POŽARI IN EKSPLOZIJE,1,LOŽINE 
POŽARI IN EKSPLOZIJE,2,LUČINE
POŽARI IN EKSPLOZIJE,1,LUKAVCI
DRUGE NESREČE,1,LUŽE
NARAVNE NESREČE,1,MAHOVNIK
POŽARI IN EKSPLOZIJE,2,MAHOVNIK
POŽARI IN EKSPLOZIJE,1,MAJŠPERK - BREG
DRUGE NESREČE,2,MAKOLE
NESREČE V PROMETU,1,MAKOLE
POŽARI IN EKSPLOZIJE,1,MAKOLE
TEHNIČNA IN DRUGA POMOČ,2,MAKOLE
POŽARI IN EKSPLOZIJE,1,MALA ILOVA GORA
POŽARI IN EKSPLOZIJE,4,MALA NEDELJA
POŽARI IN EKSPLOZIJE,7,MALEČNIK
POŽARI IN EKSPLOZIJE,1,MALI LOG
DRUGE NESREČE,1,MARIBOR - MESTO
POŽARI IN EKSPLOZIJE,15,MARIBOR - MESTO
POŽARI IN EKSPLOZIJE,10,MARIBOR - POBREŽJE
POŽARI IN EKSPLOZIJE,1,MARNO
POŽARI IN EKSPLOZIJE,2,MATENA
TEHNIČNA IN DRUGA POMOČ,1,MATENA
DRUGE NESREČE,1,MENGEŠ
NESREČE V PROMETU,17,MENGEŠ
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,MENGEŠ
POŽARI IN EKSPLOZIJE,11,MENGEŠ
TEHNIČNA IN DRUGA POMOČ,20,MENGEŠ
POŽARI IN EKSPLOZIJE,1,MESTINJE
POŽARI IN EKSPLOZIJE,2,MIHALOVEC
TEHNIČNA IN DRUGA POMOČ,2,MIHALOVEC
DRUGE NESREČE,3,MIKLAVŽ PRI ORMOŽU
TEHNIČNA IN DRUGA POMOČ,3,MIKLAVŽ PRI ORMOŽU
POŽARI IN EKSPLOZIJE,3,MIRNA
DRUGE NESREČE,1,MLINO
POŽARI IN EKSPLOZIJE,1,MORAVA
DRUGE NESREČE,1,MORAVČE
NESREČE V PROMETU,2,MORAVČE
POŽARI IN EKSPLOZIJE,4,MORAVČE
TEHNIČNA IN DRUGA POMOČ,3,MORAVČE
POŽARI IN EKSPLOZIJE,7,MORAVSKE TOPLICE
NARAVNE NESREČE,1,MOŠNJE
POŽARI IN EKSPLOZIJE,1,MOTNIK
DRUGE NESREČE,4,MOZIRJE
NESREČE V PROMETU,4,MOZIRJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,MOZIRJE
POŽARI IN EKSPLOZIJE,17,MOZIRJE
TEHNIČNA IN DRUGA POMOČ,4,MOZIRJE
DRUGE NESREČE,4,MURSKA SOBOTA
JEDRSKI IN DRUGI DOGODKI,1,MURSKA SOBOTA
NARAVNE NESREČE,2,MURSKA SOBOTA
NESREČE V PROMETU,29,MURSKA SOBOTA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",6,MURSKA SOBOTA
POŽARI IN EKSPLOZIJE,30,MURSKA SOBOTA
TEHNIČNA IN DRUGA POMOČ,46,MURSKA SOBOTA
NARAVNE NESREČE,2,NAKLO
POŽARI IN EKSPLOZIJE,4,NAKLO
TEHNIČNA IN DRUGA POMOČ,2,NAKLO
POŽARI IN EKSPLOZIJE,1,NEDELICA
POŽARI IN EKSPLOZIJE,2,NEMŠKA VAS
POŽARI IN EKSPLOZIJE,2,NEMŠKI ROVT
NESREČE V PROMETU,1,NEVLJE
POŽARI IN EKSPLOZIJE,3,NEVLJE
DRUGE NESREČE,1,NOVAKI
NARAVNE NESREČE,1,NOVAKI
NESREČE V PROMETU,2,NOVAKI
TEHNIČNA IN DRUGA POMOČ,3,NOVAKI
NARAVNE NESREČE,1,NUSKOVA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,NUSKOVA
DRUGE NESREČE,1,OBČINE
DRUGE NESREČE,1,OLŠEVEK
POŽARI IN EKSPLOZIJE,1,ORLE
TEHNIČNA IN DRUGA POMOČ,1,ORLE
POŽARI IN EKSPLOZIJE,5,OSP
POŽARI IN EKSPLOZIJE,3,OSTROŽNO
TEHNIČNA IN DRUGA POMOČ,1,OSTROŽNO
POŽARI IN EKSPLOZIJE,1,OTAVICE
DRUGE NESREČE,2,OTOČEC
POŽARI IN EKSPLOZIJE,4,OTOČEC
DRUGE NESREČE,2,OŽBALT
NARAVNE NESREČE,1,OŽBALT
POŽARI IN EKSPLOZIJE,3,OŽBALT
DRUGE NESREČE,1,PALČJE
DRUGE NESREČE,2,PERNICA
POŽARI IN EKSPLOZIJE,7,PERNICA
TEHNIČNA IN DRUGA POMOČ,5,PERNICA
NARAVNE NESREČE,2,PERTOČA
POŽARI IN EKSPLOZIJE,2,PETANJCI
POŽARI IN EKSPLOZIJE,1,PETIŠOVCI
POŽARI IN EKSPLOZIJE,6,PIJAVA GORICA
DRUGE NESREČE,1,PIRAN
NARAVNE NESREČE,7,PIRAN
POŽARI IN EKSPLOZIJE,3,PIRAN
TEHNIČNA IN DRUGA POMOČ,1,PIRAN
POŽARI IN EKSPLOZIJE,1,PIROŠICA
TEHNIČNA IN DRUGA POMOČ,1,PIROŠICA
POŽARI IN EKSPLOZIJE,3,PIŠECE
DRUGE NESREČE,5,PIVKA
NESREČE V PROMETU,5,PIVKA
POŽARI IN EKSPLOZIJE,22,PIVKA
TEHNIČNA IN DRUGA POMOČ,10,PIVKA
DRUGE NESREČE,2,PLANINA
NESREČE V PROMETU,3,PLANINA
POŽARI IN EKSPLOZIJE,4,PLANINA
POŽARI IN EKSPLOZIJE,1,PLANINA POD GOLICO
DRUGE NESREČE,4,PODBRDO
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,PODBRDO
NARAVNE NESREČE,1,PODBRDO
NESREČE V PROMETU,1,PODBRDO
POŽARI IN EKSPLOZIJE,1,PODBRDO
TEHNIČNA IN DRUGA POMOČ,4,PODBRDO
POŽARI IN EKSPLOZIJE,7,PODBREZJE
DRUGE NESREČE,1,PODČETRTEK
NARAVNE NESREČE,1,PODČETRTEK
NESREČE V PROMETU,3,PODČETRTEK
POŽARI IN EKSPLOZIJE,4,PODČETRTEK
TEHNIČNA IN DRUGA POMOČ,2,PODČETRTEK
POŽARI IN EKSPLOZIJE,2,PODGORA - PODGRAJE
TEHNIČNA IN DRUGA POMOČ,1,PODGORA - PODGRAJE
POŽARI IN EKSPLOZIJE,4,PODGORJE
NARAVNE NESREČE,1,PODGORJE IZ APAŠKE DOLINE
DRUGE NESREČE,1,PODGRAD
POŽARI IN EKSPLOZIJE,7,PODGRAD
TEHNIČNA IN DRUGA POMOČ,2,PODGRAD
POŽARI IN EKSPLOZIJE,1,PODGRADJE
POŽARI IN EKSPLOZIJE,4,PODKOREN
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,PODLJUBELJ
DRUGE NESREČE,1,PODNANOS
NARAVNE NESREČE,2,PODNANOS
POŽARI IN EKSPLOZIJE,10,PODNANOS
TEHNIČNA IN DRUGA POMOČ,1,PODNANOS
POŽARI IN EKSPLOZIJE,2,PODNART
TEHNIČNA IN DRUGA POMOČ,1,PODNART
NARAVNE NESREČE,1,PODOVA
POŽARI IN EKSPLOZIJE,4,PODOVA
POŽARI IN EKSPLOZIJE,1,PODPRESKA
TEHNIČNA IN DRUGA POMOČ,1,PODSMREKA
POŽARI IN EKSPLOZIJE,3,PODTURN
POŽARI IN EKSPLOZIJE,4,PODUTIK - GLINCE
POŽARI IN EKSPLOZIJE,2,PODVINCI
POŽARI IN EKSPLOZIJE,1,POLJE
POŽARI IN EKSPLOZIJE,1,POLŠNIK
TEHNIČNA IN DRUGA POMOČ,2,POLŠNIK
DRUGE NESREČE,1,POLZELA
NESREČE V PROMETU,1,POLZELA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,POLZELA
POŽARI IN EKSPLOZIJE,4,POLZELA
TEHNIČNA IN DRUGA POMOČ,1,POLZELA
POŽARI IN EKSPLOZIJE,2,PONIKVA
DRUGE NESREČE,1,PONOVA VAS
POŽARI IN EKSPLOZIJE,1,PONOVA VAS
TEHNIČNA IN DRUGA POMOČ,2,PONOVA VAS
NESREČE V PROMETU,1,POVIR
POŽARI IN EKSPLOZIJE,10,POVIR
TEHNIČNA IN DRUGA POMOČ,1,POVIR
DRUGE NESREČE,1,PRAGERSKO
POŽARI IN EKSPLOZIJE,4,PRAGERSKO
NARAVNE NESREČE,1,PREBOLD - DOLENJA VAS - MARIJA REKA
POŽARI IN EKSPLOZIJE,2,PREBOLD - DOLENJA VAS - MARIJA REKA
TEHNIČNA IN DRUGA POMOČ,3,PREBOLD - DOLENJA VAS - MARIJA REKA
POŽARI IN EKSPLOZIJE,1,PREČNA
POŽARI IN EKSPLOZIJE,1,PREDANOVCI
DRUGE NESREČE,2,PREDDVOR
POŽARI IN EKSPLOZIJE,7,PREDDVOR
TEHNIČNA IN DRUGA POMOČ,1,PREDDVOR
DRUGE NESREČE,1,PREDOSLJE
POŽARI IN EKSPLOZIJE,4,PREDOSLJE
POŽARI IN EKSPLOZIJE,4,PREKOPA
POŽARI IN EKSPLOZIJE,19,PRESKA MEDVODE
TEHNIČNA IN DRUGA POMOČ,14,PRESKA MEDVODE
DRUGE NESREČE,1,PREVALJE
NARAVNE NESREČE,2,PREVALJE
NESREČE V PROMETU,1,PREVALJE
POŽARI IN EKSPLOZIJE,12,PREVALJE
TEHNIČNA IN DRUGA POMOČ,7,PREVALJE
POŽARI IN EKSPLOZIJE,2,PRIMOŽ
POŽARI IN EKSPLOZIJE,1,PROSENJAKOVCI
DRUGE NESREČE,1,PRŠETINCI
TEHNIČNA IN DRUGA POMOČ,1,PRŠETINCI
POŽARI IN EKSPLOZIJE,9,PRVENCI - STRELCI
DRUGE NESREČE,11,PTUJ
JEDRSKI IN DRUGI DOGODKI,1,PTUJ
NARAVNE NESREČE,1,PTUJ
NESREČE V PROMETU,83,PTUJ
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",20,PTUJ
POŽARI IN EKSPLOZIJE,37,PTUJ
TEHNIČNA IN DRUGA POMOČ,34,PTUJ
NARAVNE NESREČE,1,PTUJSKA GORA
POŽARI IN EKSPLOZIJE,1,PTUJSKA GORA
DRUGE NESREČE,11,RAČE
NESREČE V PROMETU,1,RAČE
POŽARI IN EKSPLOZIJE,13,RAČE
TEHNIČNA IN DRUGA POMOČ,3,RAČE
POŽARI IN EKSPLOZIJE,1,RAČJE SELO
POŽARI IN EKSPLOZIJE,1,RAČNA
DRUGE NESREČE,1,RADMIRJE
NESREČE V PROMETU,1,RADMIRJE
POŽARI IN EKSPLOZIJE,3,RADMIRJE
TEHNIČNA IN DRUGA POMOČ,1,RADMIRJE
TEHNIČNA IN DRUGA POMOČ,2,RADOMERJE
DRUGE NESREČE,1,RADOMLJE
POŽARI IN EKSPLOZIJE,2,RADOMLJE
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,RADOVLJICA
NARAVNE NESREČE,3,RADOVLJICA
POŽARI IN EKSPLOZIJE,15,RADOVLJICA
TEHNIČNA IN DRUGA POMOČ,26,RADOVLJICA
POŽARI IN EKSPLOZIJE,1,RAKITNICA
POŽARI IN EKSPLOZIJE,1,RATEŽ
NARAVNE NESREČE,1,REČICA
POŽARI IN EKSPLOZIJE,4,REČICA
POŽARI IN EKSPLOZIJE,6,REČICA OB SAVINJI
TEHNIČNA IN DRUGA POMOČ,2,REČICA OB SAVINJI
POŽARI IN EKSPLOZIJE,1,RETJE
DRUGE NESREČE,1,RIBNICA
NESREČE V PROMETU,12,RIBNICA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,RIBNICA
POŽARI IN EKSPLOZIJE,10,RIBNICA
TEHNIČNA IN DRUGA POMOČ,5,RIBNICA
POŽARI IN EKSPLOZIJE,4,RIBNO
TEHNIČNA IN DRUGA POMOČ,1,RIBNO
POŽARI IN EKSPLOZIJE,1,RIGONCE
DRUGE NESREČE,1,RIMSKE TOPLICE
POŽARI IN EKSPLOZIJE,5,RIMSKE TOPLICE
TEHNIČNA IN DRUGA POMOČ,1,RIMSKE TOPLICE
TEHNIČNA IN DRUGA POMOČ,1,ROB
NARAVNE NESREČE,2,ROGAŠKA SLATINA
POŽARI IN EKSPLOZIJE,9,ROGAŠKA SLATINA
TEHNIČNA IN DRUGA POMOČ,6,ROGAŠKA SLATINA
NARAVNE NESREČE,1,ROGAŠOVCI
DRUGE NESREČE,2,ROGATEC
NESREČE V PROMETU,1,ROGATEC
POŽARI IN EKSPLOZIJE,2,ROGATEC
TEHNIČNA IN DRUGA POMOČ,12,ROGATEC
POŽARI IN EKSPLOZIJE,2,ROVTE
POŽARI IN EKSPLOZIJE,2,ROŽIČKI VRH - STANETINCI
POŽARI IN EKSPLOZIJE,4,SELA 
DRUGE NESREČE,1,SELCA
POŽARI IN EKSPLOZIJE,1,SELCA
TEHNIČNA IN DRUGA POMOČ,1,SELCA
DRUGE NESREČE,3,SELNICA OB DRAVI
NARAVNE NESREČE,1,SELNICA OB DRAVI
POŽARI IN EKSPLOZIJE,10,SELNICA OB DRAVI
TEHNIČNA IN DRUGA POMOČ,3,SELNICA OB DRAVI
NARAVNE NESREČE,1,SEMIČ
POŽARI IN EKSPLOZIJE,5,SEMIČ
TEHNIČNA IN DRUGA POMOČ,1,SEMIČ
DRUGE NESREČE,2,SENOŽEČE
NESREČE V PROMETU,6,SENOŽEČE
POŽARI IN EKSPLOZIJE,14,SENOŽEČE
TEHNIČNA IN DRUGA POMOČ,2,SENOŽEČE
POŽARI IN EKSPLOZIJE,1,SENUŠE
NARAVNE NESREČE,1,SERDICA
POŽARI IN EKSPLOZIJE,4,SERDICA
TEHNIČNA IN DRUGA POMOČ,2,SERDICA
DRUGE NESREČE,6,SEVNICA
NARAVNE NESREČE,2,SEVNICA
NESREČE V PROMETU,48,SEVNICA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",6,SEVNICA
POŽARI IN EKSPLOZIJE,16,SEVNICA
TEHNIČNA IN DRUGA POMOČ,24,SEVNICA
POŽARI IN EKSPLOZIJE,4,SKOPICE
DRUGE NESREČE,2,SLAPE - POLJE
NESREČE V PROMETU,1,SLAPE - POLJE
POŽARI IN EKSPLOZIJE,1,SLAPE - POLJE
TEHNIČNA IN DRUGA POMOČ,1,SLAPE - POLJE
DRUGE NESREČE,1,SLAVINA
POŽARI IN EKSPLOZIJE,5,SLAVINA
TEHNIČNA IN DRUGA POMOČ,1,SLAVINA
DRUGE NESREČE,3,SLOVENSKA BISTRICA
NARAVNE NESREČE,1,SLOVENSKA BISTRICA
NESREČE V PROMETU,28,SLOVENSKA BISTRICA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",7,SLOVENSKA BISTRICA
POŽARI IN EKSPLOZIJE,18,SLOVENSKA BISTRICA
TEHNIČNA IN DRUGA POMOČ,21,SLOVENSKA BISTRICA
DRUGE NESREČE,2,SLOVENSKE KONJICE
NARAVNE NESREČE,3,SLOVENSKE KONJICE
NESREČE V PROMETU,33,SLOVENSKE KONJICE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",14,SLOVENSKE KONJICE
POŽARI IN EKSPLOZIJE,13,SLOVENSKE KONJICE
TEHNIČNA IN DRUGA POMOČ,13,SLOVENSKE KONJICE
POŽARI IN EKSPLOZIJE,4,SMOKUČ
DRUGE NESREČE,2,SMOLNIK
POŽARI IN EKSPLOZIJE,4,SMOLNIK
TEHNIČNA IN DRUGA POMOČ,1,SMOLNIK
POŽARI IN EKSPLOZIJE,3,SOBETINCI
DRUGE NESREČE,1,SOCKA
POŽARI IN EKSPLOZIJE,2,SOCKA
TEHNIČNA IN DRUGA POMOČ,1,SOCKA
POŽARI IN EKSPLOZIJE,3,SODRAŽICA
TEHNIČNA IN DRUGA POMOČ,1,SODRAŽICA
NARAVNE NESREČE,1,SOTINA
POŽARI IN EKSPLOZIJE,1,SOTINA
POŽARI IN EKSPLOZIJE,1,SOVJAK
POŽARI IN EKSPLOZIJE,4,SPODNJA IN ZGORNJA GORICA
POŽARI IN EKSPLOZIJE,4,SPODNJA KUNGOTA
TEHNIČNA IN DRUGA POMOČ,2,SPODNJA KUNGOTA
POŽARI IN EKSPLOZIJE,5,SPODNJA POHANCA
POŽARI IN EKSPLOZIJE,1,SPODNJE PIRNIČE - VIKRČE - ZAVRH
TEHNIČNA IN DRUGA POMOČ,1,SPODNJE PIRNIČE - VIKRČE - ZAVRH
DRUGE NESREČE,1,SPODNJI BRNIK - VOPOVLJE
POŽARI IN EKSPLOZIJE,2,SPODNJI BRNIK - VOPOVLJE
TEHNIČNA IN DRUGA POMOČ,1,SPODNJI BRNIK - VOPOVLJE
POŽARI IN EKSPLOZIJE,1,SPUHLJA
POŽARI IN EKSPLOZIJE,1,SREDIŠČE
NARAVNE NESREČE,3,SREDIŠČE OB DRAVI
NESREČE V PROMETU,2,SREDIŠČE OB DRAVI
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,SREDIŠČE OB DRAVI
POŽARI IN EKSPLOZIJE,1,SREDIŠČE OB DRAVI
TEHNIČNA IN DRUGA POMOČ,2,SREDIŠČE OB DRAVI
POŽARI IN EKSPLOZIJE,1,SREDNJA BISTRICA
POŽARI IN EKSPLOZIJE,1,SROMLJE
NARAVNE NESREČE,1,STARA CERKEV
