aktivnost,stevilo,enota
DRUGE NESREČE,1,DREŠINJA VAS
POŽARI IN EKSPLOZIJE,3,DREŠINJA VAS
DRUGE NESREČE,1,DREŽNICA
NARAVNE NESREČE,1,DREŽNICA
POŽARI IN EKSPLOZIJE,1,DREŽNICA
POŽARI IN EKSPLOZIJE,2,DUPLJE
TEHNIČNA IN DRUGA POMOČ,3,DUPLJE
DRUGE NESREČE,6,DVORJANE
POŽARI IN EKSPLOZIJE,5,DVORJANE
TEHNIČNA IN DRUGA POMOČ,4,DVORJANE
POŽARI IN EKSPLOZIJE,2,FILOVCI
NARAVNE NESREČE,1,FRAM
POŽARI IN EKSPLOZIJE,8,FRAM
TEHNIČNA IN DRUGA POMOČ,2,FRAM
DRUGE NESREČE,1,FRANKOLOVO
POŽARI IN EKSPLOZIJE,9,FRANKOLOVO
TEHNIČNA IN DRUGA POMOČ,1,FRANKOLOVO
POŽARI IN EKSPLOZIJE,1,GABERKE
POŽARI IN EKSPLOZIJE,2,GABRNIK
TEHNIČNA IN DRUGA POMOČ,1,GABRNIK
NESREČE V PROMETU,1,GABROVKA
POŽARI IN EKSPLOZIJE,6,GABROVKA
TEHNIČNA IN DRUGA POMOČ,1,GABROVKA
TEHNIČNA IN DRUGA POMOČ,1,GANČANI
POŽARI IN EKSPLOZIJE,2,GLOBOKO
TEHNIČNA IN DRUGA POMOČ,1,GLOBOKO
TEHNIČNA IN DRUGA POMOČ,1,GOLO
POŽARI IN EKSPLOZIJE,3,GOMILSKO
DRUGE NESREČE,6,GORENJA VAS
NESREČE V PROMETU,2,GORENJA VAS
POŽARI IN EKSPLOZIJE,6,GORENJA VAS
TEHNIČNA IN DRUGA POMOČ,5,GORENJA VAS
POŽARI IN EKSPLOZIJE,2,GORENJE PRI ZREČAH
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",2,GORENJI LOGATEC
POŽARI IN EKSPLOZIJE,8,GORENJI LOGATEC
TEHNIČNA IN DRUGA POMOČ,2,GORENJI LOGATEC
POŽARI IN EKSPLOZIJE,3,GORIČA VAS
POŽARI IN EKSPLOZIJE,4,GORIŠNICA
TEHNIČNA IN DRUGA POMOČ,1,GORIŠNICA
DRUGE NESREČE,1,GORJUŠE
POŽARI IN EKSPLOZIJE,1,GORJUŠE
POŽARI IN EKSPLOZIJE,1,GORNJA BISTRICA
POŽARI IN EKSPLOZIJE,1,GRAD
POŽARI IN EKSPLOZIJE,3,GRADAC
POŽARI IN EKSPLOZIJE,1,GRAHOVO
POŽARI IN EKSPLOZIJE,1,GRAJSKA VAS
POŽARI IN EKSPLOZIJE,2,GROBLJE
NARAVNE NESREČE,1,GROSUPLJE
NESREČE V PROMETU,35,GROSUPLJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",4,GROSUPLJE
POŽARI IN EKSPLOZIJE,18,GROSUPLJE
TEHNIČNA IN DRUGA POMOČ,6,GROSUPLJE
POŽARI IN EKSPLOZIJE,2,GRUŠOVLJE
POŽARI IN EKSPLOZIJE,2,HAJDINA
POŽARI IN EKSPLOZIJE,1,HINJE
TEHNIČNA IN DRUGA POMOČ,1,HINJE
NARAVNE NESREČE,1,HLEBCE
NESREČE V PROMETU,1,HLEBCE
POŽARI IN EKSPLOZIJE,2,HLEBCE
POŽARI IN EKSPLOZIJE,8,HOČE
TEHNIČNA IN DRUGA POMOČ,3,HOČE
POŽARI IN EKSPLOZIJE,1,HOČEVJE
DRUGE NESREČE,1,HORJUL
NESREČE V PROMETU,1,HORJUL
POŽARI IN EKSPLOZIJE,1,HORJUL
NARAVNE NESREČE,1,HOTAVLJE
POŽARI IN EKSPLOZIJE,2,HOTAVLJE
POŽARI IN EKSPLOZIJE,3,HOTINJA VAS
TEHNIČNA IN DRUGA POMOČ,1,HOTINJA VAS
POŽARI IN EKSPLOZIJE,2,HRASTJE - MOTA
NESREČE V PROMETU,1,HRIB - LOŠKI POTOK
POŽARI IN EKSPLOZIJE,2,HRIB - LOŠKI POTOK
DRUGE NESREČE,1,HRUŠICA
POŽARI IN EKSPLOZIJE,3,HRUŠICA
POŽARI IN EKSPLOZIJE,9,IG
TEHNIČNA IN DRUGA POMOČ,3,IG
POŽARI IN EKSPLOZIJE,5,IGA VAS
POŽARI IN EKSPLOZIJE,1,IHAN
TEHNIČNA IN DRUGA POMOČ,1,IHAN
POŽARI IN EKSPLOZIJE,1,ILJAŠEVCI
POŽARI IN EKSPLOZIJE,3,IŠKA LOKA
POŽARI IN EKSPLOZIJE,3,IŠKA VAS
TEHNIČNA IN DRUGA POMOČ,1,IŠKA VAS
POŽARI IN EKSPLOZIJE,1,IVANCI
DRUGE NESREČE,6,IVANJKOVCI
POŽARI IN EKSPLOZIJE,6,IVANJKOVCI
TEHNIČNA IN DRUGA POMOČ,15,IVANJKOVCI
POŽARI IN EKSPLOZIJE,1,IVANJŠEVCI
NARAVNE NESREČE,2,IZOLA
POŽARI IN EKSPLOZIJE,2,JAKOBSKI DOL
TEHNIČNA IN DRUGA POMOČ,1,JAKOBSKI DOL
