Omejitve
"Omejitve:
Skupina dogodkov: Požari na prometnih sredstvih
ReCO: vse
Občina: vse
Leto: 
2010
Mesec: vse
Dan: vse"

Dogodek,Textbox20,OpisRanga,Textbox24,NastanekDatumCas,PKID,Textbox15
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,3.2.2010 11:38:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,5.2.2010 10:44:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,13.2.2010 11:17:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,20.2.2010 9:07:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,28.2.2010 10:24:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,11.3.2010 9:22:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,13.3.2010 10:55:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,17.3.2010 9:13:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,24.3.2010 9:23:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,24.3.2010 10:06:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,2.4.2010 11:07:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,25.4.2010 10:33:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,17.5.2010 9:11:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,20.5.2010 10:30:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,21.5.2010 9:50:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,23.5.2010 9:24:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,27.5.2010 9:18:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,31.5.2010 10:24:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,9.6.2010 9:45:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,14.6.2010 10:56:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,17.6.2010 10:49:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,23.6.2010 11:55:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,2.7.2010 11:28:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,4.7.2010 11:58:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,5.7.2010 10:13:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,7.7.2010 10:29:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,25.7.2010 10:38:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,6.8.2010 10:10:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,8.8.2010 11:29:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,20.8.2010 9:08:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,21.8.2010 11:38:00,1,437
požari na sredstvih cestnega prometa,394,od 9. do 12. ure,57,25.8.2010 9:23:00,1,437
